# Number of photos processed: 500
#
# photo rank in Interestingness ; photoId ; nb of views ; nb of comments ; nb of favs ; nb of notes
#
258;6494308289;51;35;12;0
259;6493652333;17;16;7;0
256;6492112333;42;17;5;0
257;6491751519;114;63;39;0
262;6491636165;43;16;4;0
263;6491536699;57;4;9;0
260;6493217443;46;13;8;0
261;6492138041;60;23;16;1
266;6493608675;50;13;5;0
267;6492955263;65;6;10;0
264;6495017375;35;10;5;0
265;6494435615;42;5;5;0
270;6491559777;55;6;4;0
271;6491534511;29;10;6;0
268;6492866737;89;4;6;0
269;6491757541;88;40;11;0
305;6493028909;75;11;5;0
304;6491858725;40;16;5;0
307;6493721047;29;16;6;0
306;6491348519;33;6;6;0
309;6492696579;30;6;8;0
308;6493705377;36;24;6;0
311;6491920021;64;16;12;1
310;6492077675;57;24;9;0
313;6491212485;22;14;3;0
312;6491771537;63;30;17;0
315;6496112199;27;4;8;0
314;6496284971;31;7;4;0
317;6494795765;74;43;8;0
316;6495347415;53;10;4;0
319;6493080757;142;3;25;0
318;6494623103;28;20;5;1
288;6493477523;23;6;3;0
289;6493237247;43;7;7;0
290;6492555077;31;7;7;0
291;6492358661;62;15;7;0
292;6491820657;131;35;19;0
293;6491745241;40;19;12;0
294;6491717521;87;26;28;0
295;6491218413;51;5;6;0
296;6496296811;34;4;9;0
297;6494648627;51;14;10;0
298;6494474727;19;16;8;0
299;6494129799;45;15;8;0
300;6493823863;23;11;4;0
301;6493281635;81;16;6;0
302;6492926109;27;9;5;0
303;6492884643;29;11;6;0
343;6491720013;29;12;6;2
342;6492055059;16;9;3;0
341;6492172915;24;4;6;0
340;6492527873;775;29;92;3
339;6492723975;13;7;6;0
338;6493116851;106;4;12;0
337;6494116713;22;6;5;0
336;6494910889;46;3;11;0
351;6493147471;92;41;15;0
350;6493271365;30;5;6;0
349;6494564739;33;11;14;0
348;6494941733;27;11;5;0
347;6495053511;38;5;5;1
346;6495187405;54;19;5;1
345;6495403809;34;3;3;0
344;6491546919;31;7;7;0
326;6491886489;57;39;16;0
327;6491788575;74;9;8;0
324;6492020183;27;12;8;0
325;6491939535;73;5;4;0
322;6492718471;37;24;5;0
323;6492639219;71;33;9;1
320;6492965083;80;19;7;0
321;6492782467;25;5;7;0
334;6491629459;86;5;4;0
335;6496912193;26;1;8;0
332;6492908757;23;13;3;0
333;6492090069;29;3;7;0
330;6494081529;34;28;6;0
331;6493683787;37;24;4;0
328;6491215197;201;23;19;1
329;6495122023;14;11;3;0
373;6495434331;35;24;10;0
372;6491515653;429;39;61;1
375;6495228501;56;28;17;0
374;6495251957;14;9;4;0
369;6492588745;64;18;20;0
368;6492833461;18;3;4;0
371;6491885071;175;41;45;0
370;6492456023;49;15;4;0
381;6493299541;54;11;7;0
380;6493528211;75;53;27;0
383;6493023831;19;10;4;0
382;6493260001;60;14;6;0
377;6494700697;30;18;3;0
376;6495100543;101;10;6;0
379;6494490371;29;11;14;0
378;6494533089;41;12;12;0
356;6495368495;147;5;19;0
357;6493627819;37;3;6;0
358;6493451515;36;2;5;0
359;6493355795;81;43;24;0
352;6492934199;54;3;6;0
